10112|1993|Ford|Explorer|SUV|Red|525123|995.00
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.00
44901|2012|Honda|Civic|SUV|Gray|103221|6995.00
53132|1998|Chevrolet|Tahoe|Truck|Silver|194985|3701.55
34127|2001|Ford|F-150|Truck|Black|118453|29386.31
54273|1996|Nissan|Rogue|Coupe|Blue|193204|21139.81
70498|2006|Honda|Odyssey|SUV|Gray|11573|16604.63
74283|2005|Chevrolet|Tahoe|Van|Silver|220621|3028.02
73516|1995|Ford|Focus|SUV|White|243314|3414.64
34455|2012|Nissan|Altima|Coupe|Red|224527|5585.42
33809|1997|Honda|Fit|Van|Red|222683|4622.81
31791|2006|Chevrolet|Tahoe|Sedan|Blue|132031|32074.15
57182|2001|Chevrolet|Cruze|Truck|Gray|90158|20486.70
78469|2005|Toyota|RAV4|Truck|Gray|223251|26659.28
82911|2016|Chevrolet|Silverado|Van|White|97283|5169.49
73611|2003|Chevrolet|Malibu|Coupe|Silver|88679|9685.86
16616|2000|Toyota|Corolla|Sedan|Yellow|135543|13400.78
55234|2003|Ford|Escape|Coupe|Green|126056|12239.12
15576|2004|Nissan|Sentra|Coupe|Black|244231|17255.40
70805|2010|Chevrolet|Silverado|Truck|Green|59654|33565.80
